Source      ,Target       ,category        ,Weight
PA390       ,DOID:3146    ,ASSOCIATED_WITH ,     1
PA390       ,PA443425     ,ASSOCIATED_WITH ,     1
PA390       ,PA166114942  ,ASSOCIATED_WITH ,     1
PA390       ,DOID:1936    ,ASSOCIATED_WITH ,     1
PA390       ,PA444368     ,ASSOCIATED_WITH ,     1
PA37174     ,PA444750     ,ASSOCIATED_WITH ,     1
PA37174     ,PA445218     ,ASSOCIATED_WITH ,     1
PA37174     ,PA445503     ,ASSOCIATED_WITH ,     1
PA37174     ,PA446615     ,ASSOCIATED_WITH ,     1
PA37174     ,DOID:1996    ,ASSOCIATED_WITH ,     1
PA37174     ,PA445742     ,ASSOCIATED_WITH ,     1
PA37174     ,PA444840     ,ASSOCIATED_WITH ,     1
PA37174     ,DOID:4074    ,ASSOCIATED_WITH ,     1
PA37174     ,PA443560     ,ASSOCIATED_WITH ,     1
PA37174     ,DOID:234     ,ASSOCIATED_WITH ,     1
PA37174     ,PA446108     ,ASSOCIATED_WITH ,     1
PA37174     ,DOID:2994    ,ASSOCIATED_WITH ,     1
PA37174     ,PA443557     ,ASSOCIATED_WITH ,     1
PA37174     ,DOID:235     ,ASSOCIATED_WITH ,     1
PA37174     ,PA443622     ,ASSOCIATED_WITH ,     1
PA37174     ,PA443756     ,ASSOCIATED_WITH ,     1
PA37183     ,PA443557     ,ASSOCIATED_WITH ,     1
PA37183     ,DOID:4074    ,ASSOCIATED_WITH ,     1
PA37183     ,PA446108     ,ASSOCIATED_WITH ,     1
PA37183     ,PA445742     ,ASSOCIATED_WITH ,     1
PA37183     ,DOID:234     ,ASSOCIATED_WITH ,     1
PA37183     ,PA443560     ,ASSOCIATED_WITH ,     1
PA37183     ,PA445503     ,ASSOCIATED_WITH ,     1
PA37183     ,DOID:1996    ,ASSOCIATED_WITH ,     1
PA37183     ,PA443622     ,ASSOCIATED_WITH ,     1
PA37183     ,PA443756     ,ASSOCIATED_WITH ,     1
PA37183     ,PA445218     ,ASSOCIATED_WITH ,     1
PA37183     ,DOID:235     ,ASSOCIATED_WITH ,     1
PA37183     ,PA444840     ,ASSOCIATED_WITH ,     1
PA37183     ,PA444750     ,ASSOCIATED_WITH ,     1
PA37183     ,PA446615     ,ASSOCIATED_WITH ,     1
PA37183     ,DOID:2994    ,ASSOCIATED_WITH ,     1
PA7360      ,PA443622     ,ASSOCIATED_WITH ,     1
PA7360      ,DOID:3683    ,ASSOCIATED_WITH ,     1
PA7360      ,DOID:8800    ,ASSOCIATED_WITH ,     1
PA126       ,PA444253     ,ASSOCIATED_WITH ,     1
PA126       ,PA444854     ,ASSOCIATED_WITH ,     1
PA126       ,PA444318     ,ASSOCIATED_WITH ,     1
PA126       ,PA445381     ,ASSOCIATED_WITH ,     1
PA126       ,DOID:3146    ,ASSOCIATED_WITH ,     1
PA126       ,PA445174     ,ASSOCIATED_WITH ,     5
PA126       ,PA445047     ,ASSOCIATED_WITH ,     1
PA126       ,PA166048826  ,ASSOCIATED_WITH ,     1
PA126       ,PA445883     ,ASSOCIATED_WITH ,     1
PA126       ,PA443796     ,ASSOCIATED_WITH ,     1
PA126       ,PA445312     ,ASSOCIATED_WITH ,     1
PA126       ,DOID:0111349 ,ASSOCIATED_WITH ,     1
PA126       ,DOID:1936    ,ASSOCIATED_WITH ,     1
PA126       ,DOID:2965    ,ASSOCIATED_WITH ,     1
PA126       ,PA445724     ,ASSOCIATED_WITH ,     3
PA126       ,PA443433     ,ASSOCIATED_WITH ,     1
PA126       ,DOID:6364    ,ASSOCIATED_WITH ,     1
PA126       ,PA443430     ,ASSOCIATED_WITH ,     2
PA126       ,PA445555     ,ASSOCIATED_WITH ,     1
