Source      ,Target      ,category        ,Weight
PA31274     ,PA451704    ,ASSOCIATED_WITH ,     2
PA31259     ,PA451704    ,ASSOCIATED_WITH ,     2
PA128       ,PA449900    ,ASSOCIATED_WITH ,     1
PA126       ,PA449957    ,ASSOCIATED_WITH ,     1
PA245       ,PA450428    ,ASSOCIATED_WITH ,     1
PA327       ,PA450428    ,ASSOCIATED_WITH ,     1
PA26551     ,PA450428    ,ASSOCIATED_WITH ,     1
PA134865839 ,PA448500    ,ASSOCIATED_WITH ,     3
PA134865839 ,PA448500    ,ASSOCIATED_WITH ,     2
PA123       ,PA448687    ,ASSOCIATED_WITH ,     1
PA126       ,PA450353    ,ASSOCIATED_WITH ,     1
PA85        ,PA164749136 ,ASSOCIATED_WITH ,     2
PA34896     ,PA164749136 ,ASSOCIATED_WITH ,    42
PA134865839 ,PA451363    ,ASSOCIATED_WITH ,     3
PA134865839 ,PA451363    ,ASSOCIATED_WITH ,     2
PA126       ,PA450985    ,ASSOCIATED_WITH ,     1
PA130       ,PA449599    ,ASSOCIATED_WITH ,     1
PA124       ,PA166110257 ,ASSOCIATED_WITH ,     1
PA145       ,PA448771    ,ASSOCIATED_WITH ,    11
PA128       ,PA449088    ,ASSOCIATED_WITH ,     1
PA7360      ,PA131301952 ,ASSOCIATED_WITH ,     1
PA128       ,PA451735    ,ASSOCIATED_WITH ,     1
PA126       ,PA449683    ,ASSOCIATED_WITH ,     1
PA134865839 ,PA142650384 ,ASSOCIATED_WITH ,     2
PA134865839 ,PA142650384 ,ASSOCIATED_WITH ,     1
PA31274     ,PA449753    ,ASSOCIATED_WITH ,     3
PA31259     ,PA449753    ,ASSOCIATED_WITH ,     2
PA139       ,PA448780    ,ASSOCIATED_WITH ,     1
PA124       ,PA451791    ,ASSOCIATED_WITH ,     1
PA85        ,PA449845    ,ASSOCIATED_WITH ,     2
PA34896     ,PA449845    ,ASSOCIATED_WITH ,    42
PA109       ,PA165950341 ,ASSOCIATED_WITH ,    33
PA123       ,PA450616    ,ASSOCIATED_WITH ,     2
PA27103     ,PA450616    ,ASSOCIATED_WITH ,     1
PA130       ,PA451201    ,ASSOCIATED_WITH ,     1
PA134952671 ,PA164749390 ,ASSOCIATED_WITH ,     3
PA166049147 ,PA164749390 ,ASSOCIATED_WITH ,     3
PA390       ,PA134308647 ,ASSOCIATED_WITH ,     3
PA134865839 ,PA134308647 ,ASSOCIATED_WITH ,     2
PA124       ,PA449053    ,ASSOCIATED_WITH ,     1
PA37180     ,PA450085    ,ASSOCIATED_WITH ,     1
PA37178     ,PA450085    ,ASSOCIATED_WITH ,     1
PA419       ,PA450085    ,ASSOCIATED_WITH ,     1
PA37181     ,PA450085    ,ASSOCIATED_WITH ,     1
PA37179     ,PA450085    ,ASSOCIATED_WITH ,     1
PA37182     ,PA450085    ,ASSOCIATED_WITH ,     1
PA37183     ,PA450085    ,ASSOCIATED_WITH ,     1
PA37174     ,PA450085    ,ASSOCIATED_WITH ,     1
PA420       ,PA450085    ,ASSOCIATED_WITH ,     2
PA34896     ,PA450106    ,ASSOCIATED_WITH ,    42
PA85        ,PA450106    ,ASSOCIATED_WITH ,     2
PA123       ,PA451333    ,ASSOCIATED_WITH ,     1
PA126       ,PA448871    ,ASSOCIATED_WITH ,     1
PA134865839 ,PA451089    ,ASSOCIATED_WITH ,     3
PA134865839 ,PA451089    ,ASSOCIATED_WITH ,     2
PA34896     ,PA449461    ,ASSOCIATED_WITH ,    42
PA85        ,PA449461    ,ASSOCIATED_WITH ,     2
PA128       ,PA450522    ,ASSOCIATED_WITH ,     1
