DrugBank ID	Name	SMILES	InChI	Generic Names	Wikidata URL
00001	lepirudin				http://www.wikidata.org/entity/Q3271949
00369	cidofovir	C1=CN(C(=O)N=C1N)CC(CO)OCP(=O)(O)O	InChI=1S/C8H14N3O6P/c9-7-1-2-11(8(13)10-7)3-6(4-12)17-5-18(14,15)16/h1-2,6,12H,3-5H2,(H2,9,10,13)(H2,14,15,16)/t6-/m0/s1	Cidofovir ; CDV ; ({[(S)-1-(4-amino-2-oxo-1,2-dihydropyrimidin-1-yl)-3-hydroxypropan-2-yl]oxy}methyl)phosphonic acid ; (S)-(3-(4-amino-2-Oxopyrimidin-1(2H)-yl)-1-hydroxypropan-2-yloxy)methylphosphonic acid ; (S)-1-(3-Hydroxy-2-phosphonomethoxypropyl)cytosine ; (S)-1-[3-Hydroxy-2-(phosphonomethoxy)propyl]cytosine ; (S)-1-[3-Hydroxy-2-(phosphonylmethoxy)propyl]cytosine ; (S)-HPMPC ; [(S)-2-(4-Amino-2-oxo-2H-pyrimidin-1-yl)-1-hydroxymethyl-ethoxymethyl]-phosphonic acid ; [[(S)-2-(4-amino-2-oxo-1(2H)-pyrimidinyl)-1-(hydroxymethyl)ethoxy]methyl]phosphonic acid ; 1-(S)-[3-Hydroxy-2-(phosphonomethoxy)propyl]cytosine ; 1-[(S)-3-Hydroxy-2-(phosphonomethoxy)propyl]cytosine ; Cidofovir anhydrous ; Cidofovirum ; GS-0504	http://www.wikidata.org/entity/Q423445
01556	chlorphentermine	CC(C)(CC1=CC=C(C=C1)Cl)N	InChI=1S/C10H14ClN/c1-10(2,12)7-8-3-5-9(11)6-4-8/h3-6H,7,12H2,1-2H3	4-Chloro-a,a-dimethylbenzeneethanamine ; 4-Chloro-a,a-dimethylphenethylamine ; a,a-Dimethyl-p-chlorophenethylamine ; Chlorphentermine ; Chlorphenterminum ; Clorfentermina	http://www.wikidata.org/entity/Q5103230
00952	naratriptan	CNS(=O)(=O)CCC1=CC2=C(C=C1)NC=C2C3CCN(CC3)C	InChI=1S/C17H25N3O2S/c1-18-23(21,22)10-7-13-3-4-17-15(11-13)16(12-19-17)14-5-8-20(2)9-6-14/h3-4,11-12,14,18-19H,5-10H2,1-2H3	Amerge® ; GR-85548A ; N-methyl-2-(3-(1-methylpiperiden-4-yl)indole-5-yl)ethanesulfonamide ; N-Methyl-2-(3-(1-methylpiperiden-4-yl)indole-5-yl)ethanesulfonamide ; N-methyl-2-[3-(1-methyl-4-piperidyl)-1H-indol-5-yl]-ethanesulfonamide ; N-Methyl-2-[3-(1-methyl-4-piperidyl)-1H-indol-5-yl]-ethanesulfonamide ; Naratriptan ; Naratriptanum	http://www.wikidata.org/entity/Q421315
00961	mepivacaine	CC1=C(C(=CC=C1)C)NC(=O)C2CCCCN2C	InChI=1S/C15H22N2O/c1-11-7-6-8-12(2)14(11)16-15(18)13-9-4-5-10-17(13)3/h6-8,13H,4-5,9-10H2,1-3H3,(H,16,18)	(+-)-1-methyl-2',6'-pipecoloxylidide ; 1-methyl-2',6'-pipecoloxylidide ; DL-mepivacaine ; N-(2,6-dimethylphenyl)-1-methyl-2-piperidinecarboxamide ; N-(2,6-dimethylphenyl)-1-methylpiperidine-2-carboxamide	http://www.wikidata.org/entity/Q416760
00701	amprenavir	CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2CCOC2)O)S(=O)(=O)C3=CC=C(C=C3)N	InChI=1S/C25H35N3O6S/c1-18(2)15-28(35(31,32)22-10-8-20(26)9-11-22)16-24(29)23(14-19-6-4-3-5-7-19)27-25(30)34-21-12-13-33-17-21/h3-11,18,21,23-24,29H,12-17,26H2,1-2H3,(H,27,30)/t21-,23-,24+/m0/s1	(3S)-Tetrahydro-3-furanyl ((1S,2R)-3-(((4-aminophenyl)sulfonyl)(2-methylpropyl)amino)-2-hydroxy-1-(phenylmethyl)propyl)carbamate ; 141 W94 ; KVX-478 ; VX-478	http://www.wikidata.org/entity/Q422198
01438	phenazopyridine	C1=CC=C(C=C1)N=NC2=C(N=C(C=C2)N)N	InChI=1S/C11H11N5/c12-10-7-6-9(11(13)14-10)16-15-8-4-2-1-3-5-8/h1-7H,(H4,12,13,14)	2,6-diamino-3-(phenylazo)pyridine ; 2,6-diamino-3-phenylazopyridine ; NC-150 ; W-1655	http://www.wikidata.org/entity/Q3114549
09034	suvorexant	CC1CCN(CCN1C(=O)C2=C(C=CC(=C2)C)N3N=CC=N3)C4=NC5=C(O4)C=CC(=C5)Cl	InChI=1S/C23H23ClN6O2/c1-15-3-5-20(30-25-8-9-26-30)18(13-15)22(31)29-12-11-28(10-7-16(29)2)23-27-19-14-17(24)4-6-21(19)32-23/h3-6,8-9,13-14,16H,7,10-12H2,1-2H3/t16-/m1/s1	Belsomra ; Belsomra® ; DORA-analogue ; MK 4305 ; MK-4305 ; MK4305	http://www.wikidata.org/entity/Q7650517
01139	cefapirin	CC(=O)OCC1=C(N2C(C(C2=O)NC(=O)CSC3=CC=NC=C3)SC1)C(=O)O	InChI=1S/C17H17N3O6S2/c1-9(21)26-6-10-7-28-16-13(15(23)20(16)14(10)17(24)25)19-12(22)8-27-11-2-4-18-5-3-11/h2-5,13,16H,6-8H2,1H3,(H,19,22)(H,24,25)/t13-,16-/m1/s1	CEPR ; Cephapirin ; (6R,7R)-3-(Acetoxymethyl)-8-oxo-7-{[(pyridin-4-ylsulfanyl)acetyl]amino}-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid ; Cefa-Lak ; Cefadyl ; Cefapirina ; Cefapirine ; Cefapirinum ; Cefaprin ; cephapirin ; Cephapirine	http://www.wikidata.org/entity/Q549803
01009	(RS)-ketoprofen	CC(C1=CC=CC(=C1)C(=O)C2=CC=CC=C2)C(=O)O	InChI=1S/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)	m-benzoylhydratropic acid ; R.P. 19583 ; RP-19583 ; 2-(3-benzoylphenyl)propionic acid ; 3-benzoyl-alpha-methylbenzeneacetic acid ; 3-benzoyl-α-methylbenzeneacetic acid ; 3-benzoylhydratropic acid	http://www.wikidata.org/entity/Q409192
