Entity1_id	Entity1_name	Entity1_type	Entity2_id	Entity2_name	Entity2_type	Category
00207	azithromycin	Chemical	DOID:4166	syphilis	Disease	treats
00207	azithromycin	Chemical	DOID:13258	typhoid fever	Disease	treats
00207	azithromycin	Chemical	DOID:10371	yaws	Disease	treats
00207	azithromycin	Chemical	DOID:11263	chlamydia infection	Disease	treats
00207	azithromycin	Chemical	00199	erythromycin	Chemical	interacts with
00207	azithromycin	Chemical	DOID:13778	chancroid	Disease	treats
00207	azithromycin	Chemical	DOID:10457	legionnaires' disease	Disease	treats
00207	azithromycin	Chemical	DOID:11405	diphtheria	Disease	treats
00207	azithromycin	Chemical	DOID:552	pneumonia	Disease	treats
00207	azithromycin	Chemical	DOID:11573	listeriosis	Disease	treats
00207	azithromycin	Chemical	DOID:1024	leprosy	Disease	treats
00207	azithromycin	Chemical	DOID:9643	Babesiosis	Disease	treats
00207	azithromycin	Chemical	DOID:0050242	primary amebic meningoencephalitis	Disease	treats
00207	azithromycin	Chemical	DOID:13431	bejel	Disease	treats
00207	azithromycin	Chemical	DOID:1733	cryptosporidiosis	Disease	treats
00207	azithromycin	Chemical	DOID:9113	granuloma inguinale	Disease	treats
00207	azithromycin	Chemical	DOID:104	bacterial infectious disease	Disease	treats
00207	azithromycin	Chemical	DOID:9423	blepharitis	Disease	treats
00207	azithromycin	Chemical	DOID:1343	urethritis	Disease	treats
00207	azithromycin	Chemical	DOID:1022	pinta disease	Disease	treats
00207	azithromycin	Chemical	DOID:2112	cystoisosporiasis	Disease	treats
00207	azithromycin	Chemical	DOID:3055	paratyphoid fever	Disease	treats
00207	azithromycin	Chemical	DOID:14095	boutonneuse fever	Disease	treats
00207	azithromycin	Chemical	DOID:2275	pharyngitis	Disease	treats
01211	clarithromycin	Chemical	DOID:11405	diphtheria	Disease	treats
01211	clarithromycin	Chemical	DOID:11330	erysipelas	Disease	treats
01211	clarithromycin	Chemical	DOID:2755	Mycobacterium avium-intracellulare infection	Disease	treats
01211	clarithromycin	Chemical	DOID:1724	duodenal ulcer	Disease	treats
01211	clarithromycin	Chemical	DOID:1024	leprosy	Disease	treats
01211	clarithromycin	Chemical	DOID:2275	pharyngitis	Disease	treats
01211	clarithromycin	Chemical	DOID:10754	otitis media	Disease	treats
01211	clarithromycin	Chemical	DOID:0060324	dental abscess	Disease	treats
01211	clarithromycin	Chemical	DOID:104	bacterial infectious disease	Disease	treats
01211	clarithromycin	Chemical	DOID:11263	chlamydia infection	Disease	treats
01211	clarithromycin	Chemical	DOID:3488	cellulitis	Disease	treats
01211	clarithromycin	Chemical	00199	erythromycin	Chemical	interacts with
