Id           ,Label                                                    ,category ,modularity_class_diseases
PA445355     ,pneumonia                                                ,Disease  ,                       12
DOID:9402    ,epididymitis                                             ,Disease  ,                       12
DOID:13035   ,louse-borne relapsing fever                              ,Disease  ,                       12
DOID:10457   ,legionnaires' disease                                    ,Disease  ,                       12
DOID:10371   ,yaws                                                     ,Disease  ,                       12
DOID:12096   ,sodoku                                                   ,Disease  ,                       12
PA445795     ,syphilis                                                 ,Disease  ,                       12
PA443655     ,cellulitis                                               ,Disease  ,                       12
PA443913     ,diphtheria                                               ,Disease  ,                       12
PA444278     ,gingivitis                                               ,Disease  ,                       12
DOID:13431   ,bejel                                                    ,Disease  ,                       12
PA445418     ,proctitis                                                ,Disease  ,                       12
DOID:5052    ,melioidosis                                              ,Disease  ,                       12
PA445312     ,pharyngitis                                              ,Disease  ,                       12
DOID:10027   ,tabes dorsalis                                           ,Disease  ,                       12
DOID:3055    ,paratyphoid fever                                        ,Disease  ,                       12
PA165109006  ,trench fever                                             ,Disease  ,                       12
PA443432     ,"arthritis, infectious"                                  ,Disease  ,                       12
PA445883     ,tonsillitis                                              ,Disease  ,                       12
DOID:10242   ,ehrlichiosis                                             ,Disease  ,                       12
PA443385     ,anthrax                                                  ,Disease  ,                       12
PA443450     ,asthma                                                   ,Disease  ,                        7
DOID:13036   ,tick-borne relapsing fever                               ,Disease  ,                       12
DOID:229     ,female reproductive system disease                       ,Disease  ,                       12
DOID:0050480 ,epidemic typhus                                          ,Disease  ,                       12
DOID:8881    ,rosacea                                                  ,Disease  ,                       12
PA444859     ,malaria                                                  ,Disease  ,                       12
DOID:1022    ,pinta disease                                            ,Disease  ,                       12
DOID:2518    ,orchitis                                                 ,Disease  ,                       12
DOID:13034   ,relapsing fever borreliosis                              ,Disease  ,                       12
DOID:0060000 ,infective endocarditis                                   ,Disease  ,                       12
PA446421     ,"meningitis, bacterial"                                  ,Disease  ,                       12
PA445113     ,neutropenia                                              ,Disease  ,                       12
PA443444     ,aspergillosis                                            ,Disease  ,                        7
DOID:0060185 ,clostridioides difficile colitis                         ,Disease  ,                       12
DOID:9700    ,bacterial conjunctivitis                                 ,Disease  ,                       12
DOID:0060324 ,dental abscess                                           ,Disease  ,                       12
DOID:11100   ,q fever                                                  ,Disease  ,                       12
DOID:14654   ,prostatitis                                              ,Disease  ,                       12
PA444915     ,meningitis                                               ,Disease  ,                       12
DOID:0050136 ,systemic mycosis                                         ,Disease  ,                        7
PA443875     ,dermatitis                                               ,Disease  ,                       12
DOID:0050289 ,fusariosis                                               ,Disease  ,                        7
DOID:12386   ,balantidiasis                                            ,Disease  ,                       12
PA445298     ,periodontitis                                            ,Disease  ,                       12
DOID:13238   ,haverhill fever                                          ,Disease  ,                       12
DOID:9113    ,granuloma inguinale                                      ,Disease  ,                       12
PA445305     ,peritonitis                                              ,Disease  ,                       12
PA443566     ,bronchiectasis                                           ,Disease  ,                       12
PA444816     ,"lung diseases, obstructive"                             ,Disease  ,                        7
DOID:14095   ,boutonneuse fever                                        ,Disease  ,                       12
PA444555     ,"hypertension, pulmonary"                                ,Disease  ,                        3
DOID:11573   ,listeriosis                                              ,Disease  ,                       12
PA444825     ,lyme disease                                             ,Disease  ,                       12
PA443833     ,cystitis                                                 ,Disease  ,                       12
PA165108477  ,murine typhus                                            ,Disease  ,                       12
PA443575     ,brucellosis                                              ,Disease  ,                       12
PA445972     ,"typhus, epidemic louse-borne"                           ,Disease  ,                       12
PA444814     ,lung diseases                                            ,Disease  ,                       12
PA443279     ,pelvic inflammatory disease                              ,Disease  ,                       12
PA165108506  ,bacterial vaginosis                                      ,Disease  ,                       12
PA165109120  ,scrub typhus                                             ,Disease  ,                       12
DOID:2515    ,meningococcal disease                                    ,Disease  ,                       12
DOID:0050061 ,erysipelothrix rhusiopathiae infectious disease          ,Disease  ,                       12
PA445483     ,pyelonephritis                                           ,Disease  ,                       12
PA166048734  ,chancroid                                                ,Disease  ,                       12
DOID:11263   ,chlamydia infection                                      ,Disease  ,                       12
