Id          ,Label              ,alternate_names                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,category ,modularity_class
PA10084     ,fosamprenavir      ,fos-apv ; fosamprenavir ; lexiva ; telzir ; fosamprenavir                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,Chemical ,               2
PA10074     ,escitalopram       ,cipralex ; escitalopram oxalate ; escitalopram ; escitalopram                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,Chemical ,               1
PA449273    ,dextromethorphan   ,d-methorphan ; d-methorphan hydrobromide ; delta-methorphan ; demorphan ; demorphan hydrobromide ; demorphine ; destrometerfano [dcit] ; dextromethorfan [czech] ; dextromethorphan bromhydrate ; dextromethorphan bromide ; dextrometorfano [inn-spanish] ; dextrometorphan ; dextromorphan ; dexyromethorphan ; l-methorphan ; levomethorphan ; levomethorphan [ban:dcf:inn] ; levomethorphane [inn-french] ; levomethorphanum [inn-latin] ; levometorfano [inn-spanish] ; dextromethorphan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,Chemical ,               3
PA449977    ,indinavir          ,compound j ; indinavir sulfate ; indinavir                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,Chemical ,               2
PA450494    ,miconazole         ,mcz ; miconazole ; miconazole                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,Chemical ,               5
PA451701    ,tizanidine         ,tizanidina [inn-spanish] ; tizanidine hcl ; tizanidinum [inn-latin] ; tizanidine                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,Chemical ,               6
PA450386    ,mesoridazine       ,tps-23 ; tps23 ; thioridazien thiomethyl sulfoxide ; thioridazine monosulfoxide analog ; thioridazine thiomethyl sulfoxide ; mesoridazine                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,Chemical ,               1
PA449957    ,ibuprofen          ,ibuprophen ; p-isobutylhydratropic acid ; para-isobutylhydratropic acid ; ibuprofen                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,Chemical ,               5
PA450428    ,methotrexate       ,amethopterin ; amethopterine ; hdmtx ; l-amethopterin ; mtx ; methopterin ; methotextrate ; methotrexat ; methotrexate sodium ; methylaminopterin ; methylaminopterinum ; n-bismethylpteroylglutamic acid ; methotrexate                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,Chemical ,               4
PA448586    ,benzphetamine      ,benzfetamine ; benzylamphetamine ; benzphetamine hydrochloride ; benzphetamine                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,Chemical ,               3
