Source       ,Target       ,Type   ,Category              ,Weight
PA445355     ,DOID:9402    ,Dirigé ,WITH_COMMON_TREATMENT ,   2.0
PA445355     ,DOID:13035   ,Dirigé ,WITH_COMMON_TREATMENT ,   3.0
PA445355     ,DOID:10457   ,Dirigé ,WITH_COMMON_TREATMENT ,   4.0
PA445355     ,DOID:10371   ,Dirigé ,WITH_COMMON_TREATMENT ,   2.0
PA445355     ,DOID:12096   ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,PA445795     ,Dirigé ,WITH_COMMON_TREATMENT ,   3.0
PA445355     ,PA443655     ,Dirigé ,WITH_COMMON_TREATMENT ,   7.0
PA445355     ,PA443913     ,Dirigé ,WITH_COMMON_TREATMENT ,   2.0
PA445355     ,PA444278     ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,DOID:13431   ,Dirigé ,WITH_COMMON_TREATMENT ,   2.0
PA445355     ,PA445418     ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,DOID:5052    ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,PA445312     ,Dirigé ,WITH_COMMON_TREATMENT ,   3.0
PA445355     ,DOID:10027   ,Dirigé ,WITH_COMMON_TREATMENT ,   2.0
PA445355     ,DOID:3055    ,Dirigé ,WITH_COMMON_TREATMENT ,   4.0
PA445355     ,PA165109006  ,Dirigé ,WITH_COMMON_TREATMENT ,   3.0
PA445355     ,PA443432     ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,PA445883     ,Dirigé ,WITH_COMMON_TREATMENT ,   2.0
PA445355     ,DOID:10242   ,Dirigé ,WITH_COMMON_TREATMENT ,   3.0
PA445355     ,PA443385     ,Dirigé ,WITH_COMMON_TREATMENT ,   2.0
PA445355     ,PA443450     ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,DOID:13036   ,Dirigé ,WITH_COMMON_TREATMENT ,   2.0
PA445355     ,DOID:229     ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,DOID:0050480 ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,DOID:8881    ,Dirigé ,WITH_COMMON_TREATMENT ,   2.0
PA445355     ,PA444859     ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,DOID:1022    ,Dirigé ,WITH_COMMON_TREATMENT ,   2.0
PA445355     ,DOID:2518    ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,DOID:13034   ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,DOID:0060000 ,Dirigé ,WITH_COMMON_TREATMENT ,   3.0
PA445355     ,PA446421     ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,PA445113     ,Dirigé ,WITH_COMMON_TREATMENT ,   3.0
PA445355     ,PA443444     ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,DOID:0060185 ,Dirigé ,WITH_COMMON_TREATMENT ,   2.0
PA445355     ,DOID:9700    ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,DOID:0060324 ,Dirigé ,WITH_COMMON_TREATMENT ,   2.0
PA445355     ,DOID:11100   ,Dirigé ,WITH_COMMON_TREATMENT ,   2.0
PA445355     ,DOID:14654   ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,PA444915     ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,DOID:0050136 ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,PA443875     ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,DOID:0050289 ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,DOID:12386   ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,PA445298     ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,DOID:13238   ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,DOID:9113    ,Dirigé ,WITH_COMMON_TREATMENT ,   3.0
PA445355     ,PA445305     ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,PA443566     ,Dirigé ,WITH_COMMON_TREATMENT ,   2.0
PA445355     ,PA444816     ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,DOID:14095   ,Dirigé ,WITH_COMMON_TREATMENT ,   3.0
PA445355     ,PA444555     ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,DOID:11573   ,Dirigé ,WITH_COMMON_TREATMENT ,   3.0
PA445355     ,PA444825     ,Dirigé ,WITH_COMMON_TREATMENT ,   4.0
PA445355     ,PA443833     ,Dirigé ,WITH_COMMON_TREATMENT ,   2.0
PA445355     ,PA165108477  ,Dirigé ,WITH_COMMON_TREATMENT ,   2.0
PA445355     ,PA443575     ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,PA445972     ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,PA444814     ,Dirigé ,WITH_COMMON_TREATMENT ,   3.0
PA445355     ,PA443279     ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,PA165108506  ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,PA165109120  ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,DOID:2515    ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,DOID:0050061 ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,PA445483     ,Dirigé ,WITH_COMMON_TREATMENT ,   3.0
PA445355     ,PA166048734  ,Dirigé ,WITH_COMMON_TREATMENT ,   3.0
PA445355     ,DOID:11263   ,Dirigé ,WITH_COMMON_TREATMENT ,   3.0
PA445355     ,DOID:10773   ,Dirigé ,WITH_COMMON_TREATMENT ,   2.0
PA445355     ,PA444253     ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,PA446721     ,Dirigé ,WITH_COMMON_TREATMENT ,   8.0
PA445355     ,DOID:1019    ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,PA445672     ,Dirigé ,WITH_COMMON_TREATMENT ,   6.0
PA445355     ,DOID:2123    ,Dirigé ,WITH_COMMON_TREATMENT ,   2.0
PA445355     ,PA443247     ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,DOID:10921   ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,DOID:8596    ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,DOID:7475    ,Dirigé ,WITH_COMMON_TREATMENT ,   2.0
PA445355     ,DOID:8504    ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,PA445165     ,Dirigé ,WITH_COMMON_TREATMENT ,   3.0
PA445355     ,PA444267     ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,DOID:782     ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,PA165108379  ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,DOID:869     ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,PA443829     ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,DOID:12384   ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,PA443597     ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,DOID:13146   ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,DOID:0050052 ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,DOID:1579    ,Dirigé ,WITH_COMMON_TREATMENT ,   2.0
PA445355     ,DOID:7551    ,Dirigé ,WITH_COMMON_TREATMENT ,   4.0
PA445355     ,PA445196     ,Dirigé ,WITH_COMMON_TREATMENT ,   3.0
PA445355     ,PA165109103  ,Dirigé ,WITH_COMMON_TREATMENT ,   2.0
PA445355     ,PA445970     ,Dirigé ,WITH_COMMON_TREATMENT ,   3.0
PA445355     ,PA444745     ,Dirigé ,WITH_COMMON_TREATMENT ,   2.0
PA445355     ,PA443945     ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,DOID:12385   ,Dirigé ,WITH_COMMON_TREATMENT ,   3.0
PA445355     ,PA166048776  ,Dirigé ,WITH_COMMON_TREATMENT ,   2.0
PA445355     ,PA443749     ,Dirigé ,WITH_COMMON_TREATMENT ,   2.0
PA445355     ,DOID:1343    ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
PA445355     ,DOID:11337   ,Dirigé ,WITH_COMMON_TREATMENT ,   1.0
