Source,Target,Type,Id,Label
PA10084,PA164783809,Directed,1657,
PA10084,PA451249,Directed,1639,
PA10084,PA10034,Directed,1414,
PA10084,PA451250,Directed,1411,
PA10084,PA448785,Directed,1234,
PA450085,PA10084,Directed,794,
PA10074,PA449072,Directed,1547,
PA10074,PA451666,Directed,1545,
PA10074,PA448486,Directed,1532,
PA10074,PA449841,Directed,1472,
PA10074,PA449422,Directed,1437,
PA10074,PA450401,Directed,1428,
PA10074,PA449493,Directed,1427,
PA10074,PA164742986,Directed,1350,
PA10074,PA451107,Directed,1345,
PA10074,PA451112,Directed,1309,
PA10074,PA451108,Directed,1305,
PA10074,PA451457,Directed,1299,
PA10074,PA448964,Directed,1294,
PA10074,PA448383,Directed,1290,
PA10074,PA164754755,Directed,1289,
PA10074,PA451209,Directed,1288,
PA10074,PA450850,Directed,1287,
PA10074,PA449958,Directed,1284,
PA10074,PA450386,Directed,1283,
PA10074,PA450705,Directed,1282,
PA10074,PA449839,Directed,1281,
PA10074,PA449373,Directed,1280,
PA10074,PA449011,Directed,1279,
PA10074,PA449389,Directed,1278,
PA10074,PA450903,Directed,1277,
PA10074,PA153619853,Directed,1265,
PA10074,PA450101,Directed,1264,
PA10074,PA451472,Directed,1252,
PA10074,PA450555,Directed,1251,
PA10074,PA448498,Directed,1250,
PA10074,PA448948,Directed,1249,
PA10074,PA449015,Directed,1230,
PA10074,PA449646,Directed,1225,
PA10074,PA451741,Directed,1216,
PA10074,PA448519,Directed,636,
PA10074,PA450965,Directed,593,
PA10074,PA449028,Directed,555,
PA451107,PA10074,Directed,1715,
PA448486,PA10074,Directed,1714,
PA164754755,PA10074,Directed,1701,
PA450386,PA10074,Directed,1700,
PA448498,PA10074,Directed,1680,
PA451666,PA10074,Directed,1587,
PA449373,PA10074,Directed,1583,
PA450555,PA10074,Directed,1580,
PA449011,PA10074,Directed,1546,
PA449958,PA10074,Directed,1515,
PA449389,PA10074,Directed,1514,
PA449839,PA10074,Directed,1424,
PA451472,PA10074,Directed,1419,
PA449493,PA10074,Directed,1059,
PA450705,PA10074,Directed,1039,
PA448383,PA10074,Directed,1037,
PA153619853,PA10074,Directed,988,
PA449015,PA10074,Directed,987,
PA449646,PA10074,Directed,974,
PA448948,PA10074,Directed,973,
PA450850,PA10074,Directed,916,
PA451108,PA10074,Directed,913,
PA451457,PA10074,Directed,731,
PA451209,PA10074,Directed,730,
PA450401,PA10074,Directed,687,
PA449422,PA10074,Directed,686,
PA448964,PA10074,Directed,605,
PA164742986,PA10074,Directed,604,
PA449028,PA10074,Directed,318,
PA450965,PA10074,Directed,317,
PA448519,PA10074,Directed,316,
PA449841,PA10074,Directed,265,
PA449273,PA450101,Directed,854,
PA449273,PA450903,Directed,714,
PA449273,PA451741,Directed,669,
PA449273,PA451112,Directed,653,
PA449977,PA164783809,Directed,1570,
PA449977,PA451249,Directed,1566,
PA449977,PA451250,Directed,1207,
PA449977,PA10034,Directed,1199,
PA449977,PA448785,Directed,1113,
PA164747651,PA449977,Directed,1363,
PA450085,PA449977,Directed,757,
PA164743028,PA449977,Directed,399,
00682,PA450494,Directed,1064,
PA451701,00379,Directed,1618,
PA451701,PA451955,Directed,1432,
PA451701,PA448383,Directed,1397,
PA451701,PA449690,Directed,1354,
PA451701,01182,Directed,1296,
PA451701,PA449009,Directed,1291,
PA450386,PA449958,Directed,1754,
PA450386,PA164754755,Directed,1752,
PA450386,PA451107,Directed,1750,
PA450386,PA449389,Directed,1748,
PA450386,PA451472,Directed,1746,
PA450386,PA449839,Directed,1745,
PA450386,PA449011,Directed,1742,
PA450386,PA449373,Directed,1739,
PA450386,PA450555,Directed,1735,
PA450386,PA448498,Directed,1702,
PA450386,PA449646,Directed,1698,
PA450386,PA448948,Directed,1695,
PA450386,PA450705,Directed,1693,
PA450386,PA451209,Directed,1691,
PA450386,PA451457,Directed,1689,
PA450386,PA448383,Directed,1686,
PA450386,PA450850,Directed,1684,
PA450386,PA451108,Directed,1683,
PA450386,PA449015,Directed,1503,
PA450386,PA164742986,Directed,1494,
PA450386,PA153619853,Directed,1490,
PA450386,PA448964,Directed,1488,
PA450386,PA449841,Directed,1470,
PA450386,PA450401,Directed,1430,
PA450386,PA449422,Directed,1425,
PA450386,PA449493,Directed,1422,
PA450386,PA450965,Directed,1378,
PA450386,PA448519,Directed,1375,
PA450386,PA449028,Directed,1243,
PA450386,PA449072,Directed,1232,
PA450386,PA451666,Directed,1226,
PA450386,PA448486,Directed,1223,
PA164754755,PA450386,Directed,1753,
PA451666,PA450386,Directed,1671,
PA449839,PA450386,Directed,1661,
PA451472,PA450386,Directed,1660,
PA450555,PA450386,Directed,1626,
PA449373,PA450386,Directed,1623,
PA450705,PA450386,Directed,1592,
PA448383,PA450386,Directed,1588,
PA449011,PA450386,Directed,1579,
PA449958,PA450386,Directed,1341,
PA449389,PA450386,Directed,1340,
PA448498,PA450386,Directed,1339,
PA448948,PA450386,Directed,1337,
PA451457,PA450386,Directed,1257,
PA450850,PA450386,Directed,1187,
PA451108,PA450386,Directed,1183,
PA153619853,PA450386,Directed,1156,
PA449015,PA450386,Directed,1153,
PA451107,PA450386,Directed,1107,
PA448486,PA450386,Directed,1105,
PA448964,PA450386,Directed,1067,
PA164742986,PA450386,Directed,1066,
PA451209,PA450386,Directed,845,
PA450401,PA450386,Directed,739,
PA449422,PA450386,Directed,738,
PA448519,PA450386,Directed,734,
PA449493,PA450386,Directed,680,
PA449646,PA450386,Directed,449,
PA449841,PA450386,Directed,359,
PA449028,PA450386,Directed,347,
PA450965,PA450386,Directed,346,
00682,PA449957,Directed,440,
PA448497,PA450428,Directed,1134,
PA448586,PA451741,Directed,1483,
PA448586,PA451112,Directed,1474,
PA448586,PA450903,Directed,1360,
PA448586,PA450101,Directed,1109,
PA451666,PA448486,Directed,1729,
PA451666,PA449072,Directed,1726,
PA451666,PA451107,Directed,1673,
PA451666,PA449958,Directed,1672,
PA451666,PA164754755,Directed,1670,
PA451666,PA449389,Directed,1666,
PA451666,PA449373,Directed,1616,
PA451666,PA449011,Directed,1615,
PA451666,PA451472,Directed,1602,
PA451666,PA450555,Directed,1601,
PA451666,PA449839,Directed,1600,
PA451666,PA448498,Directed,1584,
PA451666,PA448948,Directed,1548,
PA451666,PA449646,Directed,1530,
PA451666,PA451108,Directed,1506,
PA451666,PA451457,Directed,1505,
PA451666,PA450850,Directed,1496,
PA451666,PA451209,Directed,1493,
PA451666,PA448383,Directed,1484,
PA451666,PA450705,Directed,1478,
PA451666,PA153619853,Directed,1445,
PA451666,PA449015,Directed,1440,
PA451666,PA164742986,Directed,1438,
PA451666,PA448964,Directed,1393,
PA451666,PA449493,Directed,1387,
PA451666,PA449422,Directed,1386,
PA451666,PA450401,Directed,1383,
PA451666,PA449841,Directed,1370,
PA451666,PA448519,Directed,1352,
PA451666,PA450965,Directed,1298,
PA451666,PA449028,Directed,1266,
PA448498,PA451666,Directed,1542,
PA451472,PA451666,Directed,1525,
PA449839,PA451666,Directed,1520,
PA449958,PA451666,Directed,1402,
PA449389,PA451666,Directed,1401,
PA164754755,PA451666,Directed,1227,
PA448383,PA451666,Directed,1086,
PA451108,PA451666,Directed,911,
PA450850,PA451666,Directed,910,
PA451107,PA451666,Directed,796,
PA448486,PA451666,Directed,795,
PA451209,PA451666,Directed,620,
PA451457,PA451666,Directed,611,
PA153619853,PA451666,Directed,510,
PA449015,PA451666,Directed,504,
PA450705,PA451666,Directed,489,
PA450401,PA451666,Directed,395,
PA449422,PA451666,Directed,394,
PA449011,PA451666,Directed,393,
PA449373,PA451666,Directed,392,
PA450555,PA451666,Directed,391,
PA449493,PA451666,Directed,197,
PA448948,PA451666,Directed,159,
PA449646,PA451666,Directed,157,
PA448964,PA451666,Directed,100,
PA164742986,PA451666,Directed,99,
PA448519,PA451666,Directed,95,
PA449028,PA451666,Directed,94,
PA450965,PA451666,Directed,93,
PA449841,PA451666,Directed,83,
PA450085,PA164747039,Directed,785,
00682,PA450353,Directed,1103,
PA449269,PA450903,Directed,1565,
PA449269,PA451741,Directed,1556,
PA449269,PA451112,Directed,1553,
PA449269,PA450101,Directed,1544,
PA448497,PA451106,Directed,1097,
PA451145,PA451262,Directed,1467,
PA164747651,PA450146,Directed,1174,
PA451363,PA450146,Directed,1092,
PA164743028,PA450146,Directed,425,
PA450085,PA450146,Directed,329,
PA450272,PA450146,Directed,260,
PA451975,PA451741,Directed,1049,
PA451975,PA450101,Directed,1006,
PA451975,PA450903,Directed,690,
PA451363,PA163522472,Directed,1559,
PA451363,PA450606,Directed,1551,
PA451363,PA163522473,Directed,1550,
PA451363,PA451305,Directed,1215,
PA451363,PA449493,Directed,1214,
PA451363,PA451260,Directed,1210,
PA451363,PA450264,Directed,1209,
PA451363,PA449028,Directed,1208,
PA451363,PA450603,Directed,1198,
PA451363,PA449653,Directed,1196,
PA451363,PA449334,Directed,1192,
PA451363,PA448422,Directed,1188,
PA451363,PA450132,Directed,1163,
PA451363,PA448383,Directed,1135,
PA451363,PA451868,Directed,1102,
00682,PA451363,Directed,1646,
00682,PA450985,Directed,925,
PA153619853,PA449839,Directed,1032,
PA153619853,PA449389,Directed,1028,
PA153619853,PA451472,Directed,1023,
PA153619853,PA164754755,Directed,1021,
PA153619853,PA449958,Directed,1019,
PA153619853,PA449011,Directed,1017,
PA153619853,PA449373,Directed,1012,
PA153619853,PA450555,Directed,1010,
PA153619853,PA451107,Directed,977,
PA153619853,PA450401,Directed,909,
PA153619853,PA449493,Directed,907,
PA153619853,PA449422,Directed,902,
PA153619853,PA448948,Directed,874,
PA153619853,PA448498,Directed,873,
PA153619853,PA449646,Directed,866,
PA153619853,PA451108,Directed,862,
PA153619853,PA451209,Directed,850,
PA153619853,PA450850,Directed,843,
PA153619853,PA451457,Directed,782,
PA153619853,PA450705,Directed,607,
PA153619853,PA448383,Directed,595,
PA153619853,PA450965,Directed,588,
PA153619853,PA449015,Directed,582,
PA153619853,PA164742986,Directed,566,
PA153619853,PA449841,Directed,541,
PA153619853,PA448964,Directed,539,
PA153619853,PA449028,Directed,493,
PA153619853,PA449072,Directed,491,
PA153619853,PA448519,Directed,413,
PA153619853,PA448486,Directed,39,
PA449839,PA153619853,Directed,1723,
PA451472,PA153619853,Directed,1722,
PA164754755,PA153619853,Directed,1491,
PA448498,PA153619853,Directed,1355,
PA449958,PA153619853,Directed,1100,
PA449389,PA153619853,Directed,1099,
PA449493,PA153619853,Directed,1007,
PA448383,PA153619853,Directed,996,
PA449373,PA153619853,Directed,950,
PA450555,PA153619853,Directed,949,
PA449011,PA153619853,Directed,942,
PA451107,PA153619853,Directed,927,
PA448486,PA153619853,Directed,926,
PA448964,PA153619853,Directed,800,
PA164742986,PA153619853,Directed,799,
PA451457,PA153619853,Directed,705,
PA449422,PA153619853,Directed,633,
PA450401,PA153619853,Directed,624,
PA449015,PA153619853,Directed,599,
PA450705,PA153619853,Directed,598,
PA451108,PA153619853,Directed,490,
PA449646,PA153619853,Directed,480,
PA448948,PA153619853,Directed,479,
PA451209,PA153619853,Directed,358,
PA450850,PA153619853,Directed,280,
PA449841,PA153619853,Directed,243,
PA449028,PA153619853,Directed,128,
PA450965,PA153619853,Directed,127,
PA448519,PA153619853,Directed,126,
PA449599,PA450101,Directed,853,
PA449599,PA450903,Directed,713,
PA449599,PA451112,Directed,647,
PA449599,PA448383,Directed,621,
PA448498,PA448948,Directed,1636,
PA448498,PA449646,Directed,1635,
PA448498,PA449072,Directed,1549,
PA448498,PA448486,Directed,1535,
PA448498,PA451108,Directed,1477,
PA448498,PA449841,Directed,1473,
PA448498,PA451209,Directed,1469,
PA448498,PA451457,Directed,1441,
PA448498,PA450850,Directed,1439,
PA448498,PA449422,Directed,1436,
PA448498,PA449493,Directed,1433,
PA448498,PA450401,Directed,1429,
PA448498,PA448383,Directed,1396,
PA448498,PA449015,Directed,1381,
PA448498,PA450705,Directed,1376,
PA448498,PA449958,Directed,1358,
PA448498,PA449389,Directed,1356,
PA448498,PA451107,Directed,1353,
PA448498,PA164742986,Directed,1351,
PA448498,PA164754755,Directed,1338,
