Source,Target,Type,Category
PA448519,PA445795,Dirigé,treats
PA448519,PA445970,Dirigé,treats
PA448519,DOID:10371,Dirigé,treats
PA448519,DOID:11263,Dirigé,treats
PA448519,PA449493,Dirigé,interacts with
PA448519,PA166048734,Dirigé,treats
PA448519,DOID:10457,Dirigé,treats
PA448519,PA443913,Dirigé,treats
PA448519,PA445355,Dirigé,treats
PA448519,DOID:11573,Dirigé,treats
PA448519,PA444745,Dirigé,treats
PA448519,PA166048755,Dirigé,treats
PA448519,DOID:0050242,Dirigé,treats
PA448519,DOID:13431,Dirigé,treats
PA448519,PA443822,Dirigé,treats
PA448519,DOID:9113,Dirigé,treats
PA448519,DOID:104,Dirigé,treats
PA448519,PA443517,Dirigé,treats
PA448519,DOID:1343,Dirigé,treats
PA448519,DOID:1022,Dirigé,treats
PA448519,DOID:2112,Dirigé,treats
PA448519,DOID:3055,Dirigé,treats
PA448519,DOID:14095,Dirigé,treats
PA448519,PA445312,Dirigé,treats
PA449028,PA443913,Dirigé,treats
PA449028,DOID:11330,Dirigé,treats
PA449028,PA166048776,Dirigé,treats
PA449028,PA443945,Dirigé,treats
PA449028,PA444745,Dirigé,treats
PA449028,PA445312,Dirigé,treats
PA449028,PA445196,Dirigé,treats
PA449028,DOID:0060324,Dirigé,treats
PA449028,DOID:104,Dirigé,treats
PA449028,DOID:11263,Dirigé,treats
PA449028,PA443655,Dirigé,treats
PA449028,PA449493,Dirigé,interacts with
PA449028,PA445883,Dirigé,treats
PA449028,PA445672,Dirigé,treats
PA164742986,PA445378,Dirigé,treats
PA153619853,PA448486,Dirigé,interacts with
PA153619853,PA443459,Dirigé,treats
PA164742986,PA445845,Dirigé,treats
PA164742986,PA445846,Dirigé,treats
PA164742986,PA448486,Dirigé,interacts with
PA164742986,PA445016,Dirigé,treats
PA164742986,DOID:2228,Dirigé,treats
PA448519,PA445196,Dirigé,treats
PA448519,PA445913,Dirigé,treats
PA448519,DOID:11100,Dirigé,treats
PA448519,PA444825,Dirigé,treats
PA448519,DOID:12385,Dirigé,treats
PA448519,PA445883,Dirigé,treats
PA448519,PA445672,Dirigé,treats
PA448519,PA443570,Dirigé,treats
PA448519,PA165109006,Dirigé,treats
PA448519,PA445165,Dirigé,treats
PA448519,DOID:11330,Dirigé,treats
PA448519,DOID:2799,Dirigé,treats
PA449028,PA445355,Dirigé,treats
PA450965,DOID:11328,Dirigé,treats
PA450965,PA444270,Dirigé,treats
PA448519,PA445047,Dirigé,treats
PA448519,DOID:13036,Dirigé,treats
PA450965,PA447216,Dirigé,treats
PA448519,PA446721,Dirigé,treats
PA450965,PA445864,Dirigé,treats
PA450965,PA449493,Dirigé,interacts with
PA448519,PA166048776,Dirigé,treats
PA450965,PA444494,Dirigé,treats
PA448519,DOID:13035,Dirigé,treats
PA448519,PA444814,Dirigé,treats
PA448519,PA449072,Dirigé,interacts with
PA450965,PA449072,Dirigé,interacts with
PA449028,PA449072,Dirigé,interacts with
PA449841,DOID:11328,Dirigé,treats
PA449841,PA444270,Dirigé,treats
PA449841,PA447216,Dirigé,treats
PA449841,PA449072,Dirigé,interacts with
PA450965,PA448486,Dirigé,interacts with
PA449841,DOID:150,Dirigé,treats
PA449028,PA448486,Dirigé,interacts with
PA449841,PA448486,Dirigé,interacts with
PA449841,PA166123368,Dirigé,treats
PA449841,PA451666,Dirigé,interacts with
PA449841,PA449028,Dirigé,interacts with
PA448964,DOID:11328,Dirigé,treats
PA448964,DOID:0050856,Dirigé,treats
PA448519,PA448486,Dirigé,interacts with
PA448964,PA447216,Dirigé,treats
PA448964,PA448486,Dirigé,interacts with
PA448964,PA447196,Dirigé,treats
PA448964,DOID:3890,Dirigé,treats
PA449028,PA448519,Dirigé,interacts with
PA450965,PA451666,Dirigé,interacts with
PA449028,PA451666,Dirigé,interacts with
PA448519,PA451666,Dirigé,interacts with
PA450965,PA448519,Dirigé,interacts with
PA164742986,PA449028,Dirigé,interacts with
PA448964,PA449028,Dirigé,interacts with
PA164742986,PA451666,Dirigé,interacts with
PA448964,PA451666,Dirigé,interacts with
PA449028,PA449841,Dirigé,interacts with
PA450965,PA449841,Dirigé,interacts with
PA448519,PA449841,Dirigé,interacts with
PA450965,PA449028,Dirigé,interacts with
PA448519,PA449028,Dirigé,interacts with
PA449841,PA448519,Dirigé,interacts with
PA164742986,PA449072,Dirigé,interacts with
PA448964,PA449072,Dirigé,interacts with
PA449028,PA450965,Dirigé,interacts with
PA448519,PA450965,Dirigé,interacts with
PA449028,PA448964,Dirigé,interacts with
PA449841,PA450965,Dirigé,interacts with
PA164742986,PA450965,Dirigé,interacts with
PA448964,PA450965,Dirigé,interacts with
PA450965,PA448964,Dirigé,interacts with
PA448519,PA448964,Dirigé,interacts with
PA448964,PA448519,Dirigé,interacts with
PA164742986,PA448519,Dirigé,interacts with
PA449028,PA449015,Dirigé,interacts with
PA448519,PA449015,Dirigé,interacts with
PA450965,PA449015,Dirigé,interacts with
PA449028,PA449422,Dirigé,interacts with
PA449841,PA449422,Dirigé,interacts with
PA448519,PA449422,Dirigé,interacts with
PA450965,PA449422,Dirigé,interacts with
PA448519,PA153619853,Dirigé,interacts with
PA450965,PA153619853,Dirigé,interacts with
PA449028,PA153619853,Dirigé,interacts with
PA449841,PA450401,Dirigé,interacts with
PA449028,PA164742986,Dirigé,interacts with
PA448519,PA164742986,Dirigé,interacts with
PA450965,PA164742986,Dirigé,interacts with
PA450965,PA450401,Dirigé,interacts with
PA449028,PA450401,Dirigé,interacts with
PA448519,PA450401,Dirigé,interacts with
PA449841,PA449493,Dirigé,interacts with
PA448519,PA450705,Dirigé,interacts with
PA450965,PA450705,Dirigé,interacts with
PA449028,PA450705,Dirigé,interacts with
PA449493,PA449072,Dirigé,interacts with
PA449493,DOID:9113,Dirigé,treats
PA449493,DOID:11263,Dirigé,treats
PA449493,DOID:1343,Dirigé,treats
PA449493,PA448486,Dirigé,interacts with
PA449493,PA444253,Dirigé,treats
PA449493,DOID:10457,Dirigé,treats
PA449493,PA165108127,Dirigé,treats
PA450272,DOID:1168,Dirigé,treats
PA450850,PA444739,Dirigé,treats
PA450850,DOID:10112,Dirigé,treats
PA450850,PA449493,Dirigé,interacts with
PA451108,PA449493,Dirigé,interacts with
PA450850,DOID:2789,Dirigé,treats
PA451108,PA443459,Dirigé,treats
PA450272,PA449493,Dirigé,interacts with
PA450272,PA443796,Dirigé,treats
PA449646,PA451666,Dirigé,interacts with
PA449028,PA448383,Dirigé,interacts with
PA448948,PA451666,Dirigé,interacts with
PA449493,PA443247,Dirigé,treats
PA449493,DOID:7551,Dirigé,treats
PA450850,PA445361,Dirigé,treats
PA450850,PA444741,Dirigé,treats
PA449493,PA166048734,Dirigé,treats
PA449493,PA443385,Dirigé,treats
PA450850,DOID:10113,Dirigé,treats
PA450850,DOID:9111,Dirigé,treats
PA164743028,DOID:6364,Dirigé,treats
PA448948,PA165109103,Dirigé,treats
PA448948,PA443434,Dirigé,treats
PA448948,PA449493,Dirigé,interacts with
PA450272,PA443425,Dirigé,treats
PA449646,PA449493,Dirigé,interacts with
PA448948,PA446390,Dirigé,treats
PA449646,PA443459,Dirigé,treats
PA448948,PA444859,Dirigé,treats
PA448948,PA445903,Dirigé,treats
PA164743028,PA449493,Dirigé,interacts with
PA448948,PA445617,Dirigé,treats
PA448948,PA445273,Dirigé,treats
PA450965,PA448383,Dirigé,interacts with
PA448519,PA448383,Dirigé,interacts with
PA450555,PA445992,Dirigé,treats
PA450555,PA443833,Dirigé,treats
PA450555,PA445483,Dirigé,treats
PA450555,PA446721,Dirigé,treats
PA450555,DOID:3055,Dirigé,treats
PA451954,PA448015,Dirigé,interacts with
PA450555,DOID:10457,Dirigé,treats
PA450555,PA445165,Dirigé,treats
PA450555,PA448519,Dirigé,interacts with
PA449028,PA451457,Dirigé,interacts with
PA449011,PA448519,Dirigé,interacts with
PA448948,PA449072,Dirigé,interacts with
PA449028,PA451209,Dirigé,interacts with
PA449646,PA449072,Dirigé,interacts with
PA449493,PA451666,Dirigé,interacts with
PA449011,DOID:8534,Dirigé,treats
PA449373,PA443459,Dirigé,treats
PA450555,PA445672,Dirigé,treats
PA450555,PA445355,Dirigé,treats
PA450555,DOID:6195,Dirigé,treats
PA449011,PA443782,Dirigé,treats
PA449373,PA448519,Dirigé,interacts with
PA450555,DOID:7551,Dirigé,treats
PA449011,PA446746,Dirigé,treats
PA450965,PA451457,Dirigé,interacts with
PA448519,PA451457,Dirigé,interacts with
PA451954,DOID:526,Dirigé,treats
PA451954,DOID:635,Dirigé,treats
PA448948,PA448486,Dirigé,interacts with
PA449646,PA448486,Dirigé,interacts with
PA449646,PA449028,Dirigé,interacts with
PA164743028,PA449028,Dirigé,interacts with
PA448519,PA451209,Dirigé,interacts with
PA448948,PA449028,Dirigé,interacts with
PA450965,PA451209,Dirigé,interacts with
PA449373,PA450401,Dirigé,interacts with
PA449011,PA450401,Dirigé,interacts with
PA450555,PA449422,Dirigé,interacts with
PA450555,PA450401,Dirigé,interacts with
PA449493,PA449028,Dirigé,interacts with
PA449373,PA449422,Dirigé,interacts with
PA449011,PA449422,Dirigé,interacts with
PA450555,PA449493,Dirigé,interacts with
PA449373,PA449493,Dirigé,interacts with
PA449028,PA450850,Dirigé,interacts with
PA449011,PA449493,Dirigé,interacts with
PA450965,PA450850,Dirigé,interacts with
PA448519,PA450850,Dirigé,interacts with
PA448519,PA451108,Dirigé,interacts with
PA450965,PA449646,Dirigé,interacts with
PA449028,PA449646,Dirigé,interacts with
PA450965,PA451108,Dirigé,interacts with
PA449493,PA448519,Dirigé,interacts with
PA448519,PA449646,Dirigé,interacts with
PA449028,PA451108,Dirigé,interacts with
PA449841,PA450705,Dirigé,interacts with
PA451170,PA443450,Dirigé,treats
PA451170,PA450101,Dirigé,interacts with
PA451170,PA445047,Dirigé,treats
PA451170,PA445672,Dirigé,treats
PA449841,PA153619853,Dirigé,interacts with
PA449493,PA450965,Dirigé,interacts with
PA449841,PA448383,Dirigé,interacts with
PA449841,PA164742986,Dirigé,interacts with
PA449841,PA449015,Dirigé,interacts with
PA449841,PA448964,Dirigé,interacts with
PA449841,PA451457,Dirigé,interacts with
PA449841,PA450850,Dirigé,interacts with
PA449841,PA451209,Dirigé,interacts with
PA451170,PA451112,Dirigé,interacts with
PA449841,PA451108,Dirigé,interacts with
PA450555,PA449841,Dirigé,interacts with
PA449646,PA450965,Dirigé,interacts with
PA448948,PA450965,Dirigé,interacts with
PA449373,PA449841,Dirigé,interacts with
PA449011,PA449841,Dirigé,interacts with
PA451170,PA451741,Dirigé,interacts with
PA450272,PA450146,Dirigé,interacts with
PA449841,PA450555,Dirigé,interacts with
PA449493,PA449422,Dirigé,interacts with
PA451108,PA449841,Dirigé,interacts with
PA450850,PA449841,Dirigé,interacts with
PA449841,PA10074,Dirigé,interacts with
PA449841,PA449646,Dirigé,interacts with
PA449841,PA448948,Dirigé,interacts with
PA449493,PA449841,Dirigé,interacts with
PA448948,PA448519,Dirigé,interacts with
PA450850,PA448964,Dirigé,interacts with
PA449841,PA448498,Dirigé,interacts with
PA450555,PA448964,Dirigé,interacts with
PA449646,PA448519,Dirigé,interacts with
PA451108,PA448964,Dirigé,interacts with
PA450850,PA448519,Dirigé,interacts with
PA450850,PA164742986,Dirigé,interacts with
PA451108,PA164742986,Dirigé,interacts with
